time, 0.00          ,   2.500000E-01,   5.000000E-01,   7.500000E-01,   1.000000E+00,   1.250000E+00,   1.500000E+00,   1.750000E+00,   2.000000E+00,   2.250000E+00,   2.500000E+00,   2.750000E+00,   3.000000E+00,   3.250000E+00,   3.500000E+00,   3.750000E+00,   4.000000E+00,   4.250000E+00,   4.500000E+00,   4.750000E+00,   5.000000E+00,   5.250000E+00,   5.500000E+00,   5.750000E+00,   6.000000E+00,   6.250000E+00,   6.500000E+00,   6.750000E+00,   7.000000E+00,   7.250000E+00,   7.500000E+00,   7.750000E+00,   8.000000E+00,   8.250000E+00,   8.500000E+00,   8.750000E+00,   9.000000E+00,   9.250000E+00,   9.500000E+00,   9.750000E+00,   1.000000E+01,   1.025000E+01,   1.050000E+01,   1.075000E+01,   1.100000E+01,   1.125000E+01,   1.150000E+01,   1.175000E+01,   1.200000E+01,   1.225000E+01,   1.250000E+01,   1.275000E+01,   1.300000E+01,   1.325000E+01,   1.350000E+01,   1.375000E+01,   1.400000E+01,   1.425000E+01,   1.450000E+01,   1.475000E+01,   1.500000E+01
lg10_kr1,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00,   5.000000E+00
lg10_kr2,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00,  -1.000000E+00
lg10_kr3,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00,  -6.698970E+00
lg10_kr4,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01,  -3.010300E-01
lg10_kr5,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01,   6.989700E-01
lg10_kr6,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00,   2.000000E+00
h,   1.000000E+06,   9.999967E+05,   9.999936E+05,   9.999887E+05,   9.999803E+05,   9.999658E+05,   9.999410E+05,   9.998985E+05,   9.998256E+05,   9.997004E+05,   9.994857E+05,   9.991173E+05,   9.984857E+05,   9.974031E+05,   9.955494E+05,   9.923802E+05,   9.869772E+05,   9.778087E+05,   9.623751E+05,   9.367493E+05,   8.951800E+05,   8.303296E+05,   7.354193E+05,   6.096607E+05,   4.650487E+05,   3.257537E+05,   2.145345E+05,   1.393453E+05,   9.450709E+04,   6.998431E+04,   5.748206E+04,   5.172417E+04,   4.971903E+04,   4.984094E+04,   5.120887E+04,   5.333576E+04,   5.594310E+04,   5.886445E+04,   6.199498E+04,   6.526458E+04,   6.862324E+04,   7.203299E+04,   7.546328E+04,   7.888837E+04,   8.228584E+04,   8.563569E+04,   8.891988E+04,   9.212204E+04,   9.522734E+04,   9.822246E+04,   1.010955E+05,   1.038363E+05,   1.064358E+05,   1.088869E+05,   1.111838E+05,   1.133225E+05,   1.153003E+05,   1.171164E+05,   1.187711E+05,   1.202665E+05,   1.216058E+05
v,   1.000000E+02,   5.661773E+01,   8.032970E+01,   1.353935E+02,   2.319947E+02,   3.980833E+02,   6.831562E+02,   1.172374E+03,   2.011892E+03,   3.452470E+03,   5.924237E+03,   1.016472E+04,   1.743778E+04,   2.990690E+04,   5.126880E+04,   8.782022E+04,   1.502285E+05,   2.563954E+05,   4.358700E+05,   7.360099E+05,   1.228727E+06,   2.012431E+06,   3.194656E+06,   4.831767E+06,   6.824162E+06,   8.855024E+06,   1.050850E+07,   1.151023E+07,   1.184413E+07,   1.167018E+07,   1.118714E+07,   1.055358E+07,   9.871565E+06,   9.198339E+06,   8.562495E+06,   7.976244E+06,   7.443065E+06,   6.962037E+06,   6.530173E+06,   6.143650E+06,   5.798428E+06,   5.490566E+06,   5.216368E+06,   4.972441E+06,   4.755710E+06,   4.563409E+06,   4.393058E+06,   4.242442E+06,   4.109581E+06,   3.992706E+06,   3.890232E+06,   3.800741E+06,   3.722956E+06,   3.655727E+06,   3.598012E+06,   3.548867E+06,   3.507430E+06,   3.472913E+06,   3.444593E+06,   3.421804E+06,   3.403929E+06
i, 0.00          ,   3.107217E+00,   5.787343E+00,   9.998548E+00,   1.716872E+01,   2.946531E+01,   5.056631E+01,   8.677677E+01,   1.489137E+02,   2.555331E+02,   4.384576E+02,   7.522340E+02,   1.290280E+03,   2.212346E+03,   3.790917E+03,   6.488727E+03,   1.108561E+04,   1.887844E+04,   3.197400E+04,   5.365374E+04,   8.864197E+04,   1.427350E+05,   2.206376E+05,   3.208809E+05,   4.299943E+05,   5.243432E+05,   5.840252E+05,   6.050614E+05,   5.966250E+05,   5.710045E+05,   5.375988E+05,   5.020317E+05,   4.672271E+05,   4.345447E+05,   4.045181E+05,   3.772672E+05,   3.527115E+05,   3.306808E+05,   3.109706E+05,   2.933698E+05,   2.776750E+05,   2.636962E+05,   2.512597E+05,   2.402083E+05,   2.304009E+05,   2.217110E+05,   2.140255E+05,   2.072438E+05,   2.012756E+05,   1.960403E+05,   1.914658E+05,   1.874870E+05,   1.840456E+05,   1.810886E+05,   1.785681E+05,   1.764402E+05,   1.746651E+05,   1.732059E+05,   1.720290E+05,   1.711030E+05,   1.703990E+05
